Id,SalePrice
1461,110004.38491358132
1462,144955.52029222716
1463,202883.17817966954
1464,199097.03193770503
1465,161857.6960265324
1466,199118.655825899
1467,223202.92188267325
1468,197547.97521980887
1469,199227.74744083727
1470,165194.65513646734
1471,221053.30008534918
1472,132519.80804262933
1473,132583.70753324294
1474,191530.63687782895
1475,100822.09566320947
1476,201927.79548309906
1477,169664.9132986092
1478,168325.21513459113
1479,170882.73136553392
1480,261702.3300031093
1481,261063.442397378
1482,163948.3328532869
1483,175179.98769208346
1484,160086.50300264347
1485,260719.42599429193
1486,197719.9834213519
1487,206488.48081405213
1488,165771.61978964313
1489,165995.7219036535
1490,225556.96625375035
1491,201005.83152282838
1492,108213.53380951608
1493,230505.89866818627
1494,260629.0095555212
1495,258654.35540180712
1496,220047.78928432902
1497,192680.62383810477
1498,192385.75263545956
1499,250083.41098483873
1500,250083.41098483873
1501,250511.95713268308
1502,191587.63458029987
1503,201795.08198182774
1504,254899.6513580843
1505,223222.5799628496
1506,225700.49169911866
1507,258317.21932678274
1508,266161.7654911137
1509,172719.66155840037
1510,198725.49422237207
1511,166732.910640307
1512,224873.85869766277
1513,167420.94344647916
1514,286941.54046036536
1515,166559.91953475514
1516,174065.37454608455
1517,168123.7090827431
1518,165191.72788452185
1519,223416.2120525866
1520,164914.53822399487
1521,109186.61950828574
1522,199150.1087541812
1523,106883.67541562665
1524,141631.32820436632
1525,109353.7131897847
1526,170292.97823020304
1527,138631.50516945572
1528,164928.29888011832
1529,138436.90090575037
1530,166531.40458845897
1531,161720.10019533843
1532,161346.58594194736
1533,194995.37350891015
1534,105427.01167455933
1535,110293.3694222141
1536,106743.12014236578
1537,108071.99563224638
1538,166438.0394376618
1539,224205.48397166695
1540,165956.42720338175
1541,141247.99564092755
1542,136662.75916983502
1543,138592.1997391435
1544,161852.78150648827
1545,162835.68551530567
1546,169117.30763604425
1547,137183.6982945082
1548,136829.85285133397
1549,104714.39553812625
1550,163199.38145864903
1551,162953.63399636373
1552,138951.95333641116
1553,143611.89051217382
1554,133947.97829748146
1555,172004.22483959454
1556,141382.66422017603
1557,166732.910640307
1558,104543.38097063251
1559,137335.0762419066
1560,221240.05184702447
1561,284369.25920920935
1562,164668.81222179052
1563,164636.3656594591
1564,164299.2403144752
1565,142031.39159603597
1566,208880.83698139215
1567,107681.78274074588
1568,264500.6684462528
1569,207635.529792342
1570,168284.91607022964
1571,107835.12649616187
1572,166364.32163700048
1573,174060.4385659595
1574,168010.68585176958
1575,200937.0067821302
1576,233726.74697542712
1577,164172.43496729727
1578,170993.7995185303
1579,167853.41048031833
1580,198466.9904680531
1581,204269.072832102
1582,164354.28293896897
1583,257858.19242462458
1584,198568.24031100178
1585,161233.54125089286
1586,107208.02300849592
1587,107335.81125968265
1588,166874.4488175767
1589,110171.47859508028
1590,163199.37072860857
1591,104945.38871023881
1592,161708.29461719212
1593,164693.37409197047
1594,222627.95522763653
1595,166672.95349576915
1596,199626.8279284981
1597,204750.7172565035
1598,266955.9519302381
1599,160714.5679342373
1600,160778.4674248509
1601,106531.77432038907
1602,107564.81716369661
1603,107208.0337385364
1604,251328.7503640103
1605,258507.89197445282
1606,198745.1523025484
1607,228029.00202604747
1608,227051.97398120206
1609,166573.6694608381
1610,198924.04083215317
1611,171976.6927973072
1612,166943.25209819392
1613,168674.1460577213
1614,191578.78844422052
1615,132383.1951154442
1616,132799.94641518279
1617,132790.1173750946
1618,105479.10558702664
1619,169604.94542403086
1620,345923.7047595341
1621,141228.34829079168
1622,167493.6998032126
1623,289657.14391695266
